Shelter Name,Parish,Category,Ownership,Accommodation Capacity,Potable Water,Wheelchair Access,Notes
Blackman and Gollop Primary School,Christ Church,1,Public,80,Yes,Yes,
Gordon Walters Primary School,Christ Church,1,Public,40,Yes,No,
St. Christopher Primary School,Christ Church,1,Public,75,Yes,No,
Cuthbert Moore Primary School,St. George,1,Public,36,Yes,No,
Gordon Greenidge Primary School,St. James,1,Public,40,Yes,No,
Queens College,St. James,1,Public,100,Yes,No,
St. Silas Primary School,St. James,1,Public,40,Yes,No,
The Lodge School,St. John,1,Public,195,Yes,Yes,
Mount Tabor Primary School,St. John,1,Public,40,Yes,No,
Tamarind Hall Branch Library (Eric Holder Municipal Complex),St. Joseph,1,Public,54,Yes,Yes,Only used in the event of a hurricane
Ignatius Byer Primary School,St. Lucy,1,Public,35,Yes,No,
Combermere School,St. Michael,1,Public,100,Yes,Yes,
George Lamming Primary School,St. Michael,1,Public,79,Yes,Yes,
Harrison College,St. Michael,1,Public,81,Yes,No,
Lloyd Erskine Sandiford Centre,St. Michael,1,Public,365,Yes,Yes,
The University of the West Indies (Sagicor Building),St. Michael,1,Public,100,Yes,Yes,
Westbury Primary School,St. Michael,1,Public,61,Yes,Yes,
Coleridge and Parry School,St. Peter,1,Public,140,Yes,Yes,
Lester Vaughan School,St. Thomas,1,Public,115,Yes,Yes,
Hillaby Seventh Day Adventist Church,St. Andrew,1,Privately Owned,32,Yes,No,
Ellerton Wesleyan Holiness Church,St. George,1,Privately Owned,24,Yes,No,
Church of God Orange Hill,St. James,1,Privately Owned,106,Yes,No,
Connell Town Pentecostal House of Prayer,St. Lucy,1,Privately Owned,21,Yes,No,
William Donald George Parish Centre (St. Lucy Parish Church),St. Lucy,1,Privately Owned,20,Yes,Yes,
Black Rock Seventh Day Adventist Church,St. Michael,1,Privately Owned,32,Yes,No,
Faith Wesleyan Holiness Church,St. Michael,1,Privately Owned,30,Yes,No,
St. Barnabas Senior Citizens Centre,St. Michael,1,Privately Owned,46,Yes,No,
Ruby Church of the Nazarene,St. Philip,1,Privately Owned,45,Yes,No,
Six Roads Church of Christ,St. Philip,1,Privately Owned,40,Yes,No,
Christ Church Foundation School,Christ Church,2,Public,75,Yes,No,
Deighton Griffith School,Christ Church,2,Public,40,Yes,No,
St. Bartholomew Primary School,Christ Church,2,Public,35,Yes,No,
Ellerton Primary School,St. George,2,Public,25,Yes,No,
St. George Secondary,St. George,2,Public,80,Yes,No,
West Terrace Primary School,St. James,2,Public,40,Yes,No,
St. Margaret's Primary School,St. John,2,Public,40,Yes,No,
Grantley Adams Memorial,St. Joseph,2,Public,120,Yes,No,
St. Bernard Primary School,St. Joseph,2,Public,40,Yes,No,
St. Joseph Primary School,St. Joseph,2,Public,35,Yes,No,
Daryll Jordan Secondary,St. Lucy,2,Public,150,Yes,Yes,
Selah Primary School,St. Lucy,2,Public,40,Yes,No,
Barbados Community College (Commerce Division),St. Michael,2,Public,244,No,Yes,
Bay Primary School,St. Michael,2,Public,50,Yes,No,
The Ellerslie School,St. Michael,2,Public,55,Yes,No,
Grazettes Primary School,St. Michael,2,Public,50,Yes,No,
Lawrence T. Gay Memorial,St. Michael,2,Public,40,Yes,No,
Luther Thorne Memorial,St. Michael,2,Public,100,Yes,No,
Parkinson Memorial School,St. Michael,2,Public,215,Yes,No,
Springer Memorial School,St. Michael,2,Public,66,Yes,No,
St. Ambrose Primary School,St. Michael,2,Public,40,Yes,No,
St. Leonard's Boys' School,St. Michael,2,Public,55,Yes,No,
The St. Michael School,St. Michael,2,Public,37,Yes,No,
Princess Margaret Secondary,St. Philip,2,Public,60,Yes,No,
Reynold Weekes Primary School,St. Philip,2,Public,45,Yes,No,
Sharon Primary School,St. Thomas,2,Public,40,Yes,No,
Welches Primary School,St. Thomas,2,Public,22,Yes,No,
Hawthorn Methodist Church,Christ Church,2,Privately Owned,27,Yes,No,
Ivan Harewood Centre (Christ Church Parish Church),Christ Church,2,Privately Owned,75,Yes,No,
Salvation Army Church (Wotton),Christ Church,2,Privately Owned,14,Yes,No,
St. Christopher Anglican Church,Christ Church,2,Privately Owned,35,Yes,No,
St. Matthias Anglican Church,Christ Church,2,Privately Owned,23,No,Yes,
St. George Anglican Church,St. George,2,Privately Owned,22,No,No,
Salvation Army Checker Hall Church,St. Lucy,2,Privately Owned,14,Yes,No,
St. Clement's Centre (St. Clement's Anglican Church),St. Lucy,2,Privately Owned,30,Yes,No,
Dalkeith Methodist Church,St. Michael,2,Privately Owned,34,Yes,No,
People's Cathedral Primary,St. Michael,2,Privately Owned,60,Yes,No,
The Salvation Army Lighthouse Centre,St. Peter,2,Privately Owned,12,No,No,Women & Children Only
St. Philip-the-Less Anglican Church,St. Peter,2,Privately Owned,45,No,No,
Gemswick Nazarene Church,St. Philip,2,Privately Owned,45,No,No,
St. Catherine's Anglican Church,St. Philip,2,Privately Owned,45,Yes,No,
